codSubasta;lote;Valor de tasación;Fecha de matriculación;Visitable;Inscripción registral;Depósito;Código Postal;Situación posesoria;Número de bastidor;Matrícula;Marca;IDUFIR;numBienes;Tramos entre pujas;Provincia;Descripción;Modelo;Referencia catastral;Importe del depósito;Puja mínima;Dirección;Título jurídico;Vivienda habitual;Valor Subasta;Localidad;Información adicional;Cargas;
SUBASTA SUB-JA-2016-3971;Lote 1;;;No consta;;;17820;No consta;;;;;;;Gerona;C. Doctor Fleming 9 2º 3ª DE Banyoles;;0825101DG8602N0031BT;;;C. Doctor Fleming 9 2º 3ª DE Banyoles;;;;BANYOLES;;;
SUBASTA SUB-JA-2019-12407;Lote 1;;2004-07-16;No consta;;EL VEHICULO SE ENCUENTRA PRECINTADO EN PARATGE PUIG RUMÍ Nº 11 DE PALAFRUGELL (GIRONA);;;VWASDFTL043797593;5133CYH;NISSAN;;;;;VEHICULO FURGÓN MARCA NISSAN MODELO CABSTAR ;CABSTAR;;;;;;;;;;SEGÚN EL ARTÍCULO 668.2 PARRAFO SEGUNDO SE ENTENDERÁ QUE TODO LICITADOR ACEPTA COMO BASTANTE LA TITULACIÓN EXIXTENTE EN EL PRCEDIMIENTO DE EJECUCIÓN O ASUME SU INEXISTENCIA, ASÍ COMO LAS CONSECUENCIAS DE QUE SUS PUJAS NO SUPEREN LOS PORCENTAJES DEL TIPO DE SUBASTA ESTABLECIDO EN EL ARTÍCULO 670. ADEMÁS SE SEÑALARÁ QUE LAS CARGAS, GRAVÁMENES Y ASIENTOS ANTERIORES AL CRÉDITO DEL ACTOR, CONTINUARAN SUBSISTENTES Y QUE, POR EL SOLO ECHO DE PARTICIPAR EN LA SUBASTA, EL LICITADOR LOS ADMITE..;
SUBASTA SUB-JA-2019-123065;Lote 1;288.934,20 €;;No consta;;;17300;No consta;;;;;1;5.778,68 €;Gerona;Calle Sant Viceç Ferrer nº 35 Escalera B 1º 1ª de Blanes;;1636302DG8113N0048TG;14.446,71 €;Sin puja mínima;c/ Sant Vicenç Ferrer 35 Esc B 1º 1ª;;;288.934,20 €;Blanes;;ANEXO SUBASTA;
SUBASTA SUB-JA-2019-123065;Lote 2;17.400,00 €;;No consta;;;17300;No consta;;;;;1;348,00 €;Gerona;Sótano en edificio con frente calle Sant Vicenç Ferrer 35 de Blanes;;1636302DG8113N0008MP;870,00 €;Sin puja mínima;c/ Vicenç Ferrer 35 planta sótano;;;17.400,00 €;Blanes;;ANEXO SUBASTA;
SUBASTA SUB-JA-2019-12244;Lote 1;;;No consta;;;17538;No consta;;;;17005000028597;;;Gerona;Finca 3024 de Alp (Gerona) inscrita en el registro de la propiedad de Puigcerdà, tomo 601, libro 39, folio 29.;;2581205DG1828S0073IP;;;entidad nº64 edificio Orbis Holidays;;;;Alp;;Según certificación.;
SUBASTA SUB-JA-2019-11919;Lote 1;;;Sí;Consta inscrita en el Registro de la Propiedad de Roses núm. 1, en el tomo 2679, libro 357, folio 136, y la donación, al tomo 2995, libro 593 de Roses, folio 215. ;;17480;No consta;;;;17019000289155;;;Gerona;URBANA.- ENTIDAD DIECIOCHO.- PISO PRIMERO NÚMERO NUEVE sito en la primera planta alta del edificio sito en Roses, calle de la Barca esquina a la Avenida de la Cuana, número dieciocho. Tiene una superficie de TREINTA Y DOS metros, SIETE decímetros cuadrados. ;;5186601/EG1758N/0034/AK;;;C/ de la Barca esquina a la Avenida de la Cuana, 18 1 9;;No;;ROSES;Finca Registral número 24885 de Roses;;
SUBASTA SUB-JA-2019-11918;Lote 1;;;No consta;;;17410;No consta;;;;;;;Gerona;SEGUN PDF;;8143201/DG7384S/0001/HI;;;Calle Roure, núm. 40-42;;Sí;;SILS;;;
SUBASTA SUB-JA-2019-12230;Lote 1;;;Sí;;;17600;No consta;;;;;;;Gerona;Nave industrial y terreno adjunto;;002302300DG97H0001OS;;;C/ Bruguera 16;;No;;Figueres;;Según certificación adjunta;
SUBASTA SUB-JA-2019-12106;Lote 1;;;No consta;;;17240;No consta;;;;;;;Gerona;PARCELA DE TERRENO SITO EN LLAGOSTERA;;;;;URB MAS FONOLLERONS PARCELA 902;;;;LLAGOSTERA;;;
SUBASTA SUB-JA-2018-104023;Lote 1;;;No;;;17200;No consta;;;;17014000393451;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;6.972,75 €;69.727,53 €;C/ de Torroella, núm. 73, 2n-porta A;;No;139.455,06 €;PALAFRUGELL;;;
SUBASTA SUB-JA-2018-104023;Lote 2;;;No;;;17200;No consta;;;;17014000393475;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;7.401,18 €;74.011,84 €;C/ de Torroella, núm. 73, 2n-porta C;;No;148.023,68 €;PALAFRUGELL;;;
SUBASTA SUB-JA-2018-104023;Lote 3;;;No;;;17200;No consta;;;;17014000393482;1;Sin tramos;Gerona;Según certificación registral adjunta.;;;7.535,77 €;75.357,66 €;C/ de Torroella, núm. 73, 2n-porta D;;No;150.715,31 €;PALAFRUGELL;;;
SUBASTA SUB-JA-2019-12226;Lote 1;;;No consta;;;17834;No consta;;;;;;;Gerona;PIEZA DE TIERRA SOLAR EN EL MUNICIPIO DE PORQUERES  FINCA: 1505  R. PROPIEDAD BANYOLES;;0816712DG8601N0001LD;;;PORQUERES GIRONA;;No;;PORQUERES;;;
SUBASTA SUB-RC-2019-174300010000;Lote 1;;;Sí;Finca 4907;;17410;Sin ocupantes;;;;17018000748044;;;Gerona;URBANA: PIEZA DE TIERRA, bosque, sita en término de Sils, lugar de Vallcanera, parcela número TRES de la Urbanización "Vallcanera Parc" Manzana letra A, polígono 2º, con frente a la calle Llobregat, número tres. Tiene forma rectangular y ocupa una superficie de seiscientos metros cuadrados, equivalentes a quince mil ochocientos ochenta y dos palmos cuadrados. LINDA a la derecha entrando Norte, en línea de treinta metros, con la parcela número cuatro, al fondo Oeste, en línea de veinte metros, con la parcela número uno, y a la izquierda Sur, en línea de treinta metros, con la parcela número dos.;;8331110DG7383S0001TF;;;Llobregat, 3 de la Urbanización Vallcanera;;;;Sils;FINCA REGISTRAL: Número 4907, inscrita al tom 2925, llibre 132 de Sils, folio 117.;NO TIENE;
SUBASTA SUB-RC-2019-174300010000;Lote 1;;;No;Finca 6915;;17411;No consta;;;;17018000865956;;;Gerona;URBANA: FINCA ESPECIAL NUMERO CINCO.- PLAZA DE APARCAMIENTO señalada de NUMERO SIETE situada en la planta sótanos del edificio plurifamiliar situado en VIDRERES, calle Tramuntana, número setenta y tres-setenta y cinco, chaflán con la calle Doctor Trueta sin número. Se accede mediante rampa que da a la calle Doctor Trueta y caja de escalera de acceso a la planta baja. Tiene una superficie útil de veintiún metros ochenta y dos decímetros cuadrados. LINDA al frente, con pasillo de acceso, a la derecha entrando con plaza de aparcamiento numero seis, al fondo con subsuelo de la calle Tramuntana, y a la izquierda entrando, con la caja de escalera que comunica con el portal de entrada que da a la calle Tramuntana. Le corresponde una cuota de participación en los elementos comunes y gastos con relación al total valor del inmueble de tres enteros setenta y tres centésimas por ciento. Y en cuanto a la comunidad restringida de las plazas de aparcamiento de la planta sótanos de once enteros, treinta y dos centésimas por ciento.;;1369212DG8216N0005HJ;;;Tramuntana, 73-75;;;;Vidreres;Finca número 6915, inscrita al tom 2939, llibre 172 de Vidreres, foli 209.;NO TIENE;
SUBASTA SUB-RC-2019-174300010000;Lote 1;;;Sí;Finca 6513;;17455;Sin ocupantes;;;;17018000236763;;;Gerona;URBANA: PARCELA NUMERO 6-E. PORCION DE TERRENO en término municipal de Caldes de Malavella, Urbanización Malavella Park. Mide una superficie de mil trescientos setenta y nueve metros cuadrados. LINDA al Norte, con parcela número 7-E, al Sur con parcelas números  3-E, 4-E y 5-E, al Este, con calle y al Oeste, con la parcela número 22-E.;;3693609DG8239S0001DA;;;Santa Barbara, 6 de la Urbanización Malavella Park;;;;Caldes de Malavella;Finca número 6513, inscrita al tom 3192, llibre 177 de Caldes de Malavella, foli 23.;NO TIENE;
SUBASTA SUB-JA-2018-10326;Lote 1;;;No consta;;;17310;No consta;;;;;;;Gerona;Finca Urbana especial elemento número cuatro.- vivienda tipo dúplex, formada por dos plantas tercera  cuarta puerta única de un edificio sito en la Villa de Lloret de Mar, carrer Lleó número siete .;;;;; sito en la Villa de Lloret de Mar, carrer Lleó número siete;;;;LLORET DE MAR;;;
SUBASTA SUB-JA-2019-12291;Lote 1;;;No consta;;;17230;No consta;;;;17015000499129;;;Gerona; Vivienda sita en C. Rutlla Alta 9 bis, piso, de Palamós. Anexos: Garaje, terraza descubierta y local-trastero.;;;;;C. Rutlla Alta núm. 9 bis, piso de Palamós. Anexos: Garaje, terraza descubierta i local-trastero;;No;;Palamós;;;
SUBASTA SUB-JA-2019-11981;Lote 1;;;No consta;;;17300;No consta;;;;;;;Gerona;Calle Anselm Clavé nº 86 2º 6ª de Blanes;;2244302DG8124S0022OQ;;;C/ ANSELM CLAVE Nº 86 2º 6ª;;;;Blanes;;SE ADJUNTA CERTIFICADO CARGAS EN ANEXO;
SUBASTA SUB-RC-2019-174300010000;Lote 1;;;Sí;Finca 5294;;17430;Sin ocupantes;;;;17018000327287;;;Gerona;URBANA: PORCION DE TERRENO o parcela, sita en la Urbanización Santa Coloma Residencial, señalada de número CINCO MIL CIENTO TREINTA Y DOS, del término municipal de SANTA COLOMA DE FARNERS. Tiene una extensión superficial de ochocientos treinta y siete metros, sesenta y seis decímetros cuadrados, equivalentes a veintidós mil ciento setenta y un palmos diez décimos de palmo cuadrados. LINDA por su frente Sur, con vial de la urbanización, por al derecha entrando Este, con vial de la urbanización, a la izquierda entrando Oeste, con la parcela cinco mil ciento treinta y uno, y por el fondo Norte, con la parcela cinco mil ciento veintidós;;5857902DG7355N0001DT;;;Pintor fortuny, 25;;;;Santa Coloma de Farners;Número 5294, inscrita al tomo 1725, libro 139 de Santa Coloma de Farners, folio 65.;NO TIENE;
SUBASTA SUB-JA-2018-9301;Lote 1;;;No consta;;;17200;No consta;;;;;;;Gerona;FINCA Nº 7.804 DE PALAFRUGELL;;4205201EG1440N0056RJ;;;PISO TERCERO, LETRA D, IZQUIERDA, ANTIGUO TERRITORIO "QUINTÀ";;;;PALAFRUGELL;;;
SUBASTA SUB-JA-2018-11543;Lote 1;;;No consta;;;17190;No consta;;;;17012000043024;;;Gerona;FINCA 10180, inscrito en el registro de la propiedad nº 4 de             Girona, tomo 3840, libro 432, folio 8;;;;;Paisos Catalans 24, 3º 9ª;;;;Salt;;;
SUBASTA SUB-JA-2019-12143;Lote 1;;;No consta;;;17190;No consta;;;;;;;Gerona;VIVIENDA  SITA EN SALT REGISTRO DE LA PROPIEDAD NUMERO CUATRO DE GIRONA  FINCA  14957, TOMO 3828, LIBRO  429,  DE SALT  FOLIO  70  ;;3069501DG8436G0019JY;;;SALT;;Sí;;SALT;;;
SUBASTA SUB-JA-2019-12280;Lote 1;;;No consta;;;17257;No consta;;;;17007000463880;;;Gerona;Según certificación registral adjuntada.;;;;;Solar-Urbanització Mas Pinell-Torroella de Montgrí;;No;;TORROELLA DE MONTGRÍ;;;
SUBASTA SUB-JA-2019-12155;Lote 1;;;No consta;;;17527;No consta;;;;;;;Gerona;FINCA URBANA;;6918102DH1061N0001SU;;;PARCELA J, PRAT D´EN CAMPILLA Y D´EN GIL ;;;;LLIVIA;;NO ES POSIBLE CERTIFICAR EN EL MOMENTO ACTUAL LA EXISTENCIA DE OTROS OCUPANTES DISTINTOS DE LOS EJECUTADOS Y DE QUIENES CON ELLOS PUEDAN CONVIVIR, SEGUN LA ESCRITURA DE PRESTAMO HIPOTECARIO Y AFIANZAMIENTO, SE HALL LIBRE DE ARRENDATARIOS;
SUBASTA SUB-JC-2019-122501;Lote 1;;;No consta;;;08440;No consta;;;;08079000447148;1;Sin tramos;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 3 AL TOMO 2359 LIBRO 225 FOLIO 88;;;712,50 €;Sin puja mínima;C/ Dolors Granés 10-12;;;14.250,00 €;Cardedéu;;;
SUBASTA SUB-JC-2019-122501;Lote 2;;;No consta;;;08440;No consta;;;;08079000447308;1;Sin tramos;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 3 AL TOMO 2359 LIBRO 225 FOLIO 136;;;675,00 €;Sin puja mínima;C/ Dolors Granés 10-12;;;13.500,00 €;Cardedéu;;;
SUBASTA SUB-JC-2019-122501;Lote 3;;;No consta;;;08440;No consta;;;;08079000447513;1;Sin tramos;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 3 AL TOMO 2359 LIBRO 225 FOLIO 199;;;662,50 €;Sin puja mínima;C/ Dolors Granés 10-12;;;13.250,00 €;Cardedéu;;;
SUBASTA SUB-JC-2019-122501;Lote 4;;;No consta;;;08440;No consta;;;;08079000471938;1;Sin tramos;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 3 AL TOMO 2422 LIBRO 245 FOLIO 94;;;675,00 €;Sin puja mínima;C/Esteve Berenguer  51,53,55,57;;;13.500,00 €;Cardedéu;;;
SUBASTA SUB-JC-2019-122501;Lote 5;;;No consta;;;08440;No consta;;;;08079000472058;1;Sin tramos;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 3 AL TOMO 2422 LIBRO 245 FOLIO 130;;;675,00 €;Sin puja mínima;C/Esteve Berenguer  51,53,55,57;;;13.500,00 €;Cardedéu;;;
SUBASTA SUB-JC-2019-122501;Lote 6;;;No consta;;;08440;No consta;;;;08079000472164;1;Sin tramos;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 3 AL TOMO 2422 LIBRO 245 FOLIO 163;;;675,00 €;Sin puja mínima;C/Esteve Berenguer  51,53,55,57;;;13.500,00 €;Cardedéu;;;
SUBASTA SUB-JC-2019-122501;Lote 7;;;No consta;;;08440;No consta;;;;08079000472256;1;Sin tramos;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 3 AL TOMO 2422 LIBRO 245 FOLIO 190;;;675,00 €;Sin puja mínima;C/Esteve Berenguer  51,53,55,57;;;13.500,00 €;Cardedéu;;;
SUBASTA SUB-JC-2019-122501;Lote 8;;;No consta;;;08401;No consta;;;;08117000461723;1;0,00 €;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 1 AL TOMO 2723 LIBRO 1030 FOLIO 46;;;975,00 €;Sin puja mínima;C/ Ramón Llull 5;;;19.500,00 €;Granollers;;;
SUBASTA SUB-JC-2019-122501;Lote 9;;;No consta;;;08401;No consta;;;;08117000461778;1;0,00 €;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 1 AL TOMO 2723 LIBRO 1030 FOLIO 61;;;925,00 €;Sin puja mínima;C/ Ramón Llull 5;;;18.500,00 €;Granollers;;;
SUBASTA SUB-JC-2019-122501;Lote 10;;;No consta;;;08401;No consta;;;;08117000461945;1;0,00 €;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 1 AL TOMO 2723 LIBRO 1030 FOLIO 112;;;925,00 €;Sin puja mínima;C/ Ramón Llull 5;;;18.500,00 €;Granollers;;;
SUBASTA SUB-JC-2019-122501;Lote 11;;;No consta;;;08401;No consta;;;;08117000461976;1;0,00 €;Barcelona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GRANOLLERS Nº 1 AL TOMO 2723 LIBRO 1030 FOLIO 121;;;975,00 €;Sin puja mínima;C/ Ramón Llull 5;;;19.500,00 €;Granollers;;;
SUBASTA SUB-JC-2019-122501;Lote 12;;;No consta;;;17480;No consta;;;;17019000383372;1;Sin tramos;Gerona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE ROSES Nº 1 AL TOMO 3016 LIBRO 614 de Roses FOLIO 99;;;675,00 €;Sin puja mínima;Avda. Port Canigó 1- 5;;;13.500,00 €;Roses;;;
SUBASTA SUB-JC-2019-122501;Lote 13;;;No consta;;;17480;No consta;;;;;1;0,00 €;Gerona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE ROSES Nº 1 AL TOMO 3016 LIBRO 614 de Roses FOLIO 179;;;560,00 €;Sin puja mínima;Avda. Port Canigó 1- 5;;;11.200,00 €;Roses;;;
SUBASTA SUB-JC-2019-122501;Lote 14;;;No consta;;;17480;No consta;;;;17019000383112;1;0,00 €;Gerona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE ROSES Nº 1 AL TOMO 3146 LIBRO 744 de Roses FOLIO 208;;;487,50 €;Sin puja mínima;Avda. Port Canigó 1- 5;;;9.750,00 €;Roses;;;
SUBASTA SUB-JC-2019-122501;Lote 15;;;No consta;;;17480;No consta;;;;17019000383129;1;Sin tramos;Gerona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE ROSES Nº 1 AL TOMO 3016 LIBRO 614 de Roses FOLIO 45;;;615,00 €;Sin puja mínima;Avda. Port Canigó 1- 5;;;12.300,00 €;Roses;;;
SUBASTA SUB-JC-2019-122501;Lote 16;;;No consta;;;17480;No consta;;;;17019000383204;1;0,00 €;Gerona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE ROSES Nº 1 AL TOMO 3016 LIBRO 614 de Roses FOLIO 61;;;615,00 €;Sin puja mínima;Avda. Port Canigó 1- 5;;;12.300,00 €;Roses;;;
SUBASTA SUB-JC-2019-122501;Lote 17;;;No consta;;;17480;No consta;;;;17019000383402;1;0,00 €;Gerona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE ROSES Nº 1 AL TOMO 3016 LIBRO 614 de Roses FOLIO 105;;;615,00 €;Sin puja mínima;Avda. Port Canigó 1- 5;;;12.300,00 €;Roses;;;
SUBASTA SUB-JC-2019-122501;Lote 18;;;No consta;;;17001;No consta;;;;17012001321473;1;0,00 €;Gerona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GIRONA Nº 4 AL TOMO 4165 LIBRO 392  FOLIO 164;;;975,00 €;Sin puja mínima;C/Torin 1;;;19.500,00 €;Girona;;;
SUBASTA SUB-JC-2019-122501;Lote 19;;;No consta;;;17001;No consta;;;;17012001321480;1;0,00 €;Gerona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GIRONA Nº 4 AL TOMO 4165 LIBRO 392  FOLIO 166;;;975,00 €;Sin puja mínima;C/Torin 1;;;19.500,00 €;Girona;;;
SUBASTA SUB-JC-2019-122501;Lote 20;;;No consta;;;17001;No consta;;;;17012001321497;1;0,00 €;Gerona;FINCA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE GIRONA Nº 4 AL TOMO 4165 LIBRO 392  FOLIO 169;;;975,00 €;Sin puja mínima;C/Torin 1;;;19.500,00 €;Girona;;;
SUBASTA SUB-JA-2019-12251;Lote 1;;;No consta;FINCA NUM 13057/66, inscrita al tomo 2528, libro 228 de Castell-Platja d'Aro folio 57 del Registro de la Propiedad de Sant Feliu de Guixols;;17250;No consta;;;;17017000640396;;;Gerona;FINCA REGISTRAL NUM 13057/66 inscrita al tomo 2528 libro 228 de Castell-Platja d'Aro folio 57 del Registro de la Propiedad de Sant Feliu de Guixols;;6001101EG0360A0133IG;;;C/ Punta dels Escuts, 2 -1. 9;;;;Castell-Platja d'Aro;;;
SUBASTA SUB-JA-2019-12240;Lote 1;;;No consta;;;17162;No consta;;;;;;;Gerona;SE  ADJUNTA CERTIFICACION DE CARGAS;;0360602DG8406S0001XR;;;CALLE TORREFERRANA- VIAL 10 URBANIZACION RESIDENCIAL PARC URBANITZAR DE MONTFULLA ;;No;;BESCANO;;;
SUBASTA SUB-JA-2019-12225;Lote 1;;;No consta;;;17250;No consta;;;;;;;Gerona;Vivienda de 77 metros cuadros más 6 metros compuesta de recibidor, tres dormitorios, un baño, un aseo, comedor-estar y cocona con lavadero;;;;;Conjunto Residencial Las Gavinas, S'Agaró;;No;;Castell-Platja d'Aro;;;
